epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5387,1.63344,3.11309,1.58013,0.01855,0.53261,0.43048,0.26489,1.50552,3.04296,1.33295,0.00018337,0.00018337,0.00018337
2,116.849,1.56673,2.50384,1.41835,0.0199,0.53261,0.47815,0.34185,1.40562,2.87835,1.23012,0.000379614,0.000379614,0.000379614
3,176.152,1.58525,1.94161,1.421,0.02217,0.57609,0.36709,0.26028,1.44795,2.95252,1.37472,0.000571898,0.000571898,0.000571898
4,235.945,1.57654,1.53753,1.43754,0.8809,0.17289,0.37428,0.2496,1.57034,2.75251,1.45474,0.00076022,0.00076022,0.00076022
5,293.408,1.49368,1.45284,1.41371,0.99368,0.34234,0.48498,0.33736,1.42489,2.27518,1.42311,0.000944582,0.000944582,0.000944582
6,353.961,1.45947,1.3988,1.37426,1,0.30169,0.4514,0.19296,2.28364,2.47155,2.00451,0.00112498,0.00112498,0.00112498
7,410.273,1.49285,1.35912,1.39892,0.77915,0.29928,0.5831,0.24343,2.0918,2.22177,1.99313,0.00130142,0.00130142,0.00130142
8,468.149,1.49635,1.31692,1.38802,0.7706,0.20407,0.33909,0.09451,2.68745,2.47968,2.47873,0.0014739,0.0014739,0.0014739
9,525.734,1.48444,1.28498,1.35826,0.75759,0.58361,0.6612,0.28948,1.94505,1.79999,1.62829,0.00153497,0.00153497,0.00153497
10,583.319,1.45441,1.35795,1.35713,0.78213,0.69766,0.72441,0.4337,1.4295,1.64126,1.36724,0.00151847,0.00151847,0.00151847
11,645.355,1.43384,1.27446,1.35296,0.68967,0.69257,0.69967,0.42733,1.48381,1.34122,1.45049,0.00150197,0.00150197,0.00150197
12,702.466,1.43716,1.32581,1.3562,0.67706,0.63582,0.62799,0.3782,1.6322,1.5933,1.45597,0.00148546,0.00148546,0.00148546
