epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3393,1.58977,3.17583,1.3447,0.01751,0.54348,0.07897,0.05579,2.00191,3.69178,1.34567,0.00036674,0.00036674,0.00036674
2,68.5065,1.69223,2.51572,1.29775,1,0.2563,0.48936,0.34213,1.93802,3.23673,1.2603,0.000675885,0.000675885,0.000675885
3,94.287,1.65805,1.82822,1.26432,0.99077,0.45946,0.50358,0.32928,1.97734,2.72895,1.27228,0.000909115,0.000909115,0.000909115
4,119.695,1.62034,1.54905,1.24759,0.75296,0.61734,0.66421,0.40743,1.98814,2.13514,1.28613,0.00106643,0.00106643,0.00106643
5,145.928,1.59926,1.39102,1.27202,0.73967,0.67659,0.66054,0.35997,2.11058,1.37111,1.36819,0.00100687,0.00100687,0.00100687
6,171.733,1.55379,1.33104,1.23384,0.61677,0.68214,0.63944,0.3882,2.01789,1.59302,1.31668,0.000841835,0.000841835,0.000841835
7,196.101,1.55659,1.38055,1.21687,0.73721,0.74736,0.71826,0.42841,1.91631,1.61634,1.2867,0.000676802,0.000676802,0.000676802
8,220.44,1.51816,1.28728,1.1962,0.7719,0.7691,0.76457,0.45144,1.86669,1.2724,1.23895,0.000511769,0.000511769,0.000511769
9,247.863,1.45742,1.18188,1.18387,0.77899,0.77996,0.75893,0.44685,1.79797,1.18104,1.21103,0.000346736,0.000346736,0.000346736
10,273.624,1.44684,1.20381,1.17466,0.83206,0.79627,0.79072,0.46036,1.80639,1.16293,1.21251,0.000181703,0.000181703,0.000181703
